id	occurrences	char	shape_id
g395	148	乱	022c95837e755e93
g396	144	途	70b5ecf3a3bccb93
g397	144	易	9a6882a330eec3c0
g398	142	与	bdc115581a235b53
g399	142	狭	768a06e4d1daad2b
g400	142	詳	d2463b8f69ba4b75
g401	142	試	2833c722d72b27db
g402	140	収	b52a23c22084a9ee
g403	140	花	c6ea49fdd810f6bd
g404	140	松	de6a8da378066f9d
g405	138	古	8e0966a314750e86
g406	138	忘	1c018a012eb8a4e4
g407	138	容	b031f36280c084af
g408	138	検	c0324482abf02a6e
g409	138	流	5aa9143771d5f1bf
g410	136	廊	d9e5c35b3f57061f
g411	134	打	6da2baf8e8fe1e19
g412	134	簡	3a15e1431fe07a56
g413	134	故	42f327838e4bdbc1
g414	132	土	8999fc3a8bdbe943
g415	132	我	bf21c37496f23f34
g416	132	障	bab48369c0faf489
g417	128	省	d25d99ef9066248c
g418	128	造	04851eee2ec3609b
g419	128	悲	6248d4d17f252e21
g420	128	葉	286234f9435e7093
g421	126	環	e3e1b7ea1b40abb3
g422	124	床	b224ed07dea6ffa1
g423	124	肉	421c2951b1acc6cb
g424	124	欲	21e2660cab595692
g425	124	扱	918e03fa8a5f8e10
g426	122	血	586bb5c147a0535d
g427	122	済	a9b10ccfc2d4c903
g428	122	降	c5d719da46fac178
g429	120	広	4d52d4bde89a6646
g430	120	遠	103b5887ae48f878
g431	118	交	57202b8cf5b4324c
g432	118	三	1421fa34aa0dc99c
g433	116	久	d967b928e92a703a
g434	116	便	9037aee0eceb750f
g435	116	般	c3f0ad7b52bc1a73
g436	116	具	f21e0141ff624d1c
g437	116	真	153576487a63393b
g438	114	慎	cc581a4192e4ddf6
g439	114	員	72c006406be32dc2
g440	114	域	148cc9d7945c0bdc
g441	114	鍵	a56ea08a0c931edc
g442	112	傍	b6e23b6690303735
g443	112	例	71e3c20cb0526c06
g444	112	怖	47972e4b5b47f57a
g445	112	送	6c9b94a98a99f28f
g446	112	討	4bd063a1865f6bfe
g447	110	領	7d341f6463f75834
g448	108	典	676514a5852a9762
g449	108	認	f2c6111a797c8ec5
g450	106	嗅	7a055b2dd0e4ab1f
g451	106	参	1171c3b59d3d2d24
g452	106	仮	d03684465b3dacc1
g453	106	距	6f754b96768df65d
g454	104	亡	9aaac96fdfa328e3
g455	104	捕	12c3f300f6c5eca4
g456	102	従	c7617bfb1422a67f
g457	102	座	862133c1cde4f364
g458	102	搬	b4d4f134f48bfe75
g459	102	協	4d20a72d1aaa04a0
g460	100	善	1e90e1abb7e3dd9d
g461	100	捜	1d1700f9e4b1cee6
g462	100	章	300345584ed6e86a
g463	100	退	293320c52f98da64
g464	100	羅	6f392d3cfed3ba94
g465	98	査	460dcd3252947e01
g466	98	息	f696cd75192ec008
g467	98	抗	1478feb328dd8164
g468	98	遺	8e183cd032db2465
g469	98	漏	05b07cd1de778b5f
g470	98	疑	cc98169b943ad73e
g471	96	鈍	e58777adbe4f019c
g472	96	管	a31ba4265c74c9ba
g473	96	互	29d5849bb02909cc
g474	96	腹	c76f33b9560191a7
g475	96	窩	7719c385485c17ff
g476	94	族	5c31e618ea604b89
g477	94	遂	67ccf01632f6a971
g478	94	満	83e1aa227b4ab4d4
g479	94	駄	533cb801f0a3e5ca
g480	92	住	29285ce3345fbd09
g481	92	親	75f6031678235194
g482	92	鉄	9078ebdde1577bb0
g483	92	慌	d8650eb4a3806230
g484	92	策	5e525dabc8f58e74
g485	92	純	6dadb82f355afeb6
g486	92	航	973a86cbfa169fc2
g487	92	巡	5ba1f5e88784181c
g488	90	米	3d5ee29b84623d86
g489	90	毎	5abd86fb04a0623b
g490	88	非	5c561ee8634e2f2b
g491	88	展	5db22b55a2c9fe28
g492	88	改	8cbd53d9beae6007
g493	88	索	cf95d1117913bf33
g494	88	覗	62e6f313d08faad8
g495	86	紙	23cd2cf2c33060a3
g496	86	塗	b4fc1cc047b41bc1
g497	86	滝	1f5166fa6b9e7540
g498	86	閉	38f716683e59ba76
g499	86	喜	e0d73df918f3352e
g500	86	秘	f5e26fe627d55900
g501	84	曳	9d3b072d5510870a
g502	84	争	368e9fd4f179bdbc
g503	84	焼	4f3f353783161913
g504	84	月	e987efc6c7b608f8
g505	84	逡	e16d7b04f3a1c6ea
g506	84	璧	502f9608d8307603
g507	84	更	0179ba2d87f3afa5
g508	84	窮	98ca10e28a0a327c
g509	82	希	50ade663905c6b26
g510	82	載	8017cdbc01349165
g511	82	境	27b5ecab82b5f87c
g512	82	印	f55462d2758f07b3
g513	82	顧	ef12224351a7816f
g514	80	吉	3b3a60ac608c9a3f
g515	80	求	14658d2475bda75f
g516	80	邦	18de104705752b56
g517	80	錯	3e063472a9a79c77
g518	80	涼	a724a410482ff087
g519	80	育	a3521d3757c034fc
g520	80	請	4cfc76b887c56562
g521	78	若	48af54fdf53aed8b
g522	78	墜	56786fe520df54c8
g523	76	東	2900996c49bc2323
g524	76	突	577e4337fd3ce619
g525	76	象	99ff812e1210de06
g526	76	係	302d557ea7da7a34
g527	76	超	e8209264e61e393c
g528	76	肺	e03b64bf2750b477
g529	74	救	73259b55e8f901e3
g530	74	補	de82e76ce7d95313
g531	74	霊	2608c1805fcb4b13
g532	74	費	311a11b6145c6a80
g533	72	虫	b4edb34f87c0b333
g534	72	台	f3253ba90a4dda47
g535	72	枚	28e47cdd3abd28ac
g536	72	候	9fe1219bcd06b968
g537	72	迫	1326149ce14fde0c
g538	72	溶	5f82b6f6777c388d
g539	72	深	9492ae59944c3543
g540	72	班	6b8851719afdd052
g541	70	似	702b8978715f3bdd
g542	70	捉	0ce985790e83ad8d
g543	70	駆	32b8ffe421e0cb3d
